doc_id,title,category,priority,content
OPT-011,Contextual Targeting Without Cookies,audience,high,"As third-party cookies deprecate, contextual targeting becomes critical. StackAdapt contextual capabilities: 1) Page-level classification across 300+ IAB content categories. 2) Sentiment analysis — target positive content environments. 3) Keyword inclusion/exclusion lists for granular control. 4) Custom context models trained on advertiser-specific content affinity. Performance comparison: Contextual targeting achieves 85-90% of cookie-based behavioral targeting performance while being fully privacy-compliant. Best for: brand safety-conscious advertisers, regulated industries (pharma, finance), European campaigns under GDPR strict enforcement."
OPT-012,Frequency Cap Optimization Framework,delivery,medium,"Over-frequency wastes budget and annoys users; under-frequency fails to create awareness. Recommended caps by objective: Awareness campaigns — 5-8 impressions per user per week. Consideration — 3-5 per week. Conversion/retargeting — 7-10 per day (high intent justifies higher frequency). Cross-channel considerations: Set HOLISTIC frequency caps across all campaigns for same advertiser to prevent bombardment. Monitor frequency distribution: if >30% of impressions serve to users at max cap, your reach is too narrow — expand targeting. Diminishing returns typically begin after the 6th exposure within a 7-day window."
OPT-013,DSP Algorithm Training: Bid Optimization,channel_strategy,medium,"StackAdapt's ML bidding algorithms require proper training data. Guidelines: 1) Allow 7-day learning period before evaluating performance — algorithms need 50+ conversions to optimize effectively. 2) Don't change targeting or budgets >20% during learning. 3) Use CPA or ROAS goals rather than manual CPM bids for performance campaigns. 4) Provide accurate conversion values for value-based bidding. 5) Ensure pixel fires are clean (no duplicates, proper attribution windows). 6) For new campaigns with no history, start with awareness-optimized delivery for 3-5 days, then switch to conversion optimization once learning is complete."
OPT-014,Quarterly Business Review Template,account_health,medium,"QBR structure for client retention and expansion: Slide 1 — Executive summary (30 seconds): highlight top KPI achievement and key recommendation. Slides 2-4 — Performance review: Show QoQ trends for primary KPIs (ROAS, CPA, reach). Include competitive benchmarks (anonymized platform averages by vertical). Slides 5-6 — Insights: Audience discoveries, creative performance leaders, channel mix analysis. Slide 7 — Roadmap: Next quarter plan with 3 concrete optimization initiatives. Slide 8 — Growth opportunity: Present one data-backed expansion proposal (new channel, audience, or budget increase). Deliver QBR within 10 business days of quarter close."
OPT-015,Brand Safety & Suitability Standards,delivery,high,"Brand safety is non-negotiable for all campaigns. Minimum standards: 1) Enable pre-bid brand safety filtering (IAS or DoubleVerify integration). 2) Maintain global exclusion list: hate speech, adult content, illegal activity, violence, misinformation. 3) Advertiser-specific blocklists: competitors, controversial topics per industry. 4) News category handling: Block hard news for sensitive brands, allow for finance/tech advertisers. 5) Made-for-advertising (MFA) site blocking: Use StackAdapt's MFA detection to exclude low-quality inventory. 6) Post-campaign reporting: Include brand safety score in all client reports. Target: <0.5% unsafe impression rate."
OPT-016,Campaign Launch Checklist,channel_strategy,medium,"Pre-launch verification (all campaigns): 1) Tracking: Pixel installed, test conversion firing, attribution window configured. 2) Creative: All sizes approved, click URLs validated, landing pages load <3s. 3) Targeting: Audience segments attached, geo-fencing verified, frequency caps set. 4) Budget: Daily/lifetime budget confirmed, pacing strategy selected. 5) Brand safety: Blocklist applied, pre-bid filtering enabled. 6) Measurement: Viewability provider active, conversion events defined. 7) Timeline: Flight dates match media plan, dayparting configured if applicable. Post-launch (24hr check): Delivery started, no error flags, initial metrics within expected range."
OPT-017,Data-Driven Creative Optimization,creative,medium,"Leverage performance data to continuously improve creative assets. Framework: 1) Launch with minimum 3 creative variations per ad size. 2) After 1000 impressions per variation, identify statistical leader (95% confidence). 3) Pause underperformers, introduce new challengers. 4) Test one variable at a time: headline vs. image vs. CTA vs. color. 5) Winning patterns by channel: Display — bold CTAs, high-contrast images; Native — editorial headlines, lifestyle imagery; Video — first-3-second hook, clear brand identity. 6) Refresh creative every 2-3 weeks to combat ad fatigue. Monitor CTR decay curve — >15% decline signals refresh needed."
OPT-018,Lookalike Audience Scaling Methodology,audience,medium,"Lookalike audiences are the primary scale lever for performance campaigns. Seed requirements: Minimum 1000 users in seed audience for reliable modeling. Higher quality seeds (purchasers > add-to-carts > site visitors) produce better lookalikes. Scaling path: Start at 1% lookalike (highest precision), test performance for 7 days. If CPA is within 20% of seed audience performance, expand to 3%. At 3%, if still performant, test 5%. Beyond 5%, performance typically degrades to near-prospecting levels. Combine lookalikes with contextual or behavioral layers for precision-at-scale. Refresh seed audiences monthly as customer profiles evolve."
OPT-019,Multi-Touch Attribution Model Selection,measurement,medium,"Attribution model selection significantly impacts reported performance and budget allocation decisions. Model comparison: Last-click — simple but heavily biased toward lower-funnel touchpoints. Favors search/retargeting. First-click — biased toward awareness tactics. Rarely recommended. Linear — equal credit across all touchpoints. Fair but doesn't account for impact differences. Time-decay — more credit to recent touchpoints. Good default for consideration campaigns. Data-driven (DDA) — ML-based, accounts for actual contribution. Recommended when sufficient conversion volume (>300/month). Position-based — 40/20/40 split (first, middle, last). Good compromise for full-funnel campaigns. StackAdapt recommendation: Use DDA for high-volume accounts, time-decay for mid-volume, last-click only for direct response."
OPT-020,Platform Health Monitoring Dashboard Guide,account_health,low,"RevOps team daily monitoring checklist: 1) Platform-wide delivery: Total spend vs. forecast (variance >10% requires investigation). 2) Error rates: Campaign serving errors <0.1%, pixel fire failures <2%. 3) Pacing alerts: Campaigns >20% ahead/behind pace flagged automatically. 4) Client health dashboard: Review any accounts dropping below 60 engagement score. 5) Revenue at risk: Flag any Gold/Silver tier showing month-over-month decline. 6) Pipeline: Check deals with close dates within 14 days. Weekly: Review aggregate take-rate trends, identify compression. Monthly: Full revenue forecast vs. actual analysis, client tier movement tracking."
