advertiser_id,month,engagement_score,performance_score,retention_risk,nps_score
ADV-013,2026-05-01,96.8,70.8,low,80
ADV-014,2026-01-01,93.0,81.0,low,62
ADV-014,2026-01-01,80.6,93.3,low,59
ADV-014,2026-03-01,77.1,80.7,low,63
ADV-014,2026-04-01,79.2,79.3,low,41
ADV-014,2026-05-01,89.5,91.8,low,63
ADV-014,2026-05-01,77.8,74.1,low,37
ADV-015,2026-01-01,65.2,56.1,medium,64
ADV-015,2026-01-01,71.0,56.2,medium,14
ADV-015,2026-03-01,63.5,57.9,medium,16
ADV-015,2026-04-01,60.4,66.2,medium,37
ADV-015,2026-05-01,73.0,70.4,low,42
ADV-015,2026-05-01,78.7,58.8,medium,33
ADV-016,2026-01-01,66.4,68.6,medium,68
ADV-016,2026-01-01,82.9,75.7,low,85
ADV-016,2026-03-01,77.2,60.4,medium,74
ADV-016,2026-04-01,81.4,73.9,low,39
ADV-016,2026-05-01,73.6,71.9,low,42
ADV-016,2026-05-01,74.9,77.6,low,41
ADV-017,2026-01-01,94.0,88.8,low,59
ADV-017,2026-01-01,98.0,78.3,low,41
ADV-017,2026-03-01,94.8,77.3,low,44
ADV-017,2026-04-01,99.3,91.1,low,76
ADV-017,2026-05-01,86.4,73.3,low,59
ADV-017,2026-05-01,98.1,84.0,low,51
ADV-018,2026-01-01,80.7,81.5,low,62
ADV-018,2026-01-01,78.2,74.9,low,71
ADV-018,2026-03-01,75.3,85.2,low,75
ADV-018,2026-04-01,86.9,80.8,low,70
ADV-018,2026-05-01,75.8,89.7,low,69
ADV-018,2026-05-01,80.8,75.4,low,85
ADV-019,2026-01-01,65.0,81.3,low,79
ADV-019,2026-01-01,64.6,78.4,low,74
ADV-019,2026-03-01,64.6,86.2,low,33
ADV-019,2026-04-01,72.1,81.1,low,59
ADV-019,2026-05-01,64.1,86.9,low,54
ADV-019,2026-05-01,67.4,81.9,low,52
ADV-020,2026-01-01,82.5,65.7,low,48
ADV-020,2026-01-01,66.9,68.1,medium,33
ADV-020,2026-03-01,79.3,66.5,low,27
ADV-020,2026-04-01,72.3,69.3,low,54
ADV-020,2026-05-01,79.2,75.0,low,86
ADV-020,2026-05-01,70.9,61.7,medium,39
ADV-021,2026-01-01,55.3,58.6,medium,25
ADV-021,2026-01-01,66.2,67.4,medium,70
ADV-021,2026-03-01,56.8,66.1,medium,19
ADV-021,2026-04-01,71.3,67.1,medium,66
ADV-021,2026-05-01,62.2,57.2,medium,58
ADV-021,2026-05-01,57.3,68.5,medium,62
ADV-022,2026-01-01,100,93.3,low,46
ADV-022,2026-01-01,94.3,88.4,low,89
ADV-022,2026-03-01,100,95.4,low,61
ADV-022,2026-04-01,89.4,93.1,low,71
ADV-022,2026-05-01,89.6,89.8,low,74
ADV-022,2026-05-01,100,92.6,low,75
ADV-023,2026-01-01,78.8,56.6,medium,77
ADV-023,2026-01-01,75.9,52.2,medium,42
ADV-023,2026-03-01,79.0,48.6,medium,21
ADV-023,2026-04-01,73.5,50.6,medium,72
ADV-023,2026-05-01,76.7,58.0,medium,59
ADV-023,2026-05-01,78.6,54.8,medium,42
ADV-024,2026-01-01,80.2,85.2,low,51
ADV-024,2026-01-01,71.4,71.8,low,71
ADV-024,2026-03-01,65.5,74.1,medium,79
ADV-024,2026-04-01,84.8,82.7,low,84
ADV-024,2026-05-01,77.0,83.5,low,85
ADV-024,2026-05-01,72.7,79.0,low,85
ADV-025,2026-01-01,67.4,65.9,medium,52
ADV-025,2026-01-01,82.9,76.5,low,48
ADV-025,2026-03-01,65.5,65.8,medium,50
ADV-025,2026-04-01,67.2,80.2,low,61
ADV-025,2026-05-01,73.4,67.4,low,24
ADV-025,2026-05-01,81.9,71.4,low,39
ADV-026,2026-01-01,59.6,69.2,medium,47
ADV-026,2026-01-01,58.4,74.6,medium,74
ADV-026,2026-03-01,66.4,71.2,medium,25
ADV-026,2026-04-01,60.7,76.5,medium,65
ADV-026,2026-05-01,59.5,87.2,low,78
ADV-026,2026-05-01,62.3,85.5,low,42
ADV-027,2026-01-01,74.6,81.9,low,88
ADV-027,2026-01-01,71.3,73.9,low,67
ADV-027,2026-03-01,78.8,75.3,low,27
ADV-027,2026-04-01,84.9,78.8,low,83
ADV-027,2026-05-01,73.1,86.0,low,62
ADV-027,2026-05-01,71.7,81.2,low,57
ADV-028,2026-01-01,80.9,70.9,low,81
ADV-028,2026-01-01,84.5,72.1,low,81
ADV-028,2026-03-01,80.3,71.1,low,64
ADV-028,2026-04-01,82.6,82.2,low,58
ADV-028,2026-05-01,71.1,83.2,low,73
ADV-028,2026-05-01,74.7,72.9,low,65
ADV-029,2026-01-01,64.3,83.8,low,39
ADV-029,2026-01-01,74.1,68.1,low,77
ADV-029,2026-03-01,69.0,70.7,medium,77
ADV-029,2026-04-01,57.8,79.4,medium,75
ADV-029,2026-05-01,60.8,74.8,medium,65
ADV-029,2026-05-01,67.5,84.8,low,30
ADV-030,2026-01-01,92.0,70.9,low,41
ADV-030,2026-01-01,81.5,72.8,low,56
ADV-030,2026-03-01,77.0,75.4,low,69
ADV-030,2026-04-01,91.4,70.3,low,77
ADV-030,2026-05-01,84.4,66.5,low,27
ADV-030,2026-05-01,76.7,64.9,low,78
