month,advertiser_id,media_spend,platform_fee,take_rate_pct,net_revenue
2026-01-01,ADV-007,13365.22,2526.03,18.9,2246.9
2026-03-01,ADV-007,10401.64,1378.22,13.25,1173.4
2026-04-01,ADV-007,8878.55,1079.63,12.16,1022.47
2026-05-01,ADV-007,14844.1,2091.53,14.09,1913.46
2026-05-01,ADV-007,13173.07,2155.11,16.36,1966.77
2026-01-01,ADV-008,56396.09,8465.05,15.01,7587.58
2026-01-01,ADV-008,69801.17,8529.7,12.22,7391.93
2026-03-01,ADV-008,54573.28,10385.3,19.03,9828.51
2026-04-01,ADV-008,69682.79,14354.65,20.6,13041.52
2026-05-01,ADV-008,56889.72,10063.79,17.69,9393.38
2026-05-01,ADV-008,49766.72,6011.82,12.08,5489.04
2026-01-01,ADV-009,18001.76,3688.56,20.49,3407.15
2026-01-01,ADV-009,14512.81,2545.55,17.54,2237.74
2026-03-01,ADV-009,13527.52,2280.74,16.86,2073.43
2026-04-01,ADV-009,14655.19,2753.71,18.79,2565.55
2026-05-01,ADV-009,13531.21,2589.87,19.14,2338.21
2026-05-01,ADV-009,12931.93,1960.48,15.16,1678.86
2026-01-01,ADV-010,70680.43,11824.84,16.73,10636.19
2026-01-01,ADV-010,96706.81,14960.54,15.47,13759.98
2026-03-01,ADV-010,50913.25,7575.89,14.88,6585.12
2026-04-01,ADV-010,67025.05,9597.99,14.32,8369.16
2026-05-01,ADV-010,95215.81,14653.71,15.39,13337.95
2026-05-01,ADV-010,91893.95,17064.71,18.57,14728.82
2026-01-01,ADV-011,90330.73,19511.44,21.6,18210.18
2026-01-01,ADV-011,88310.34,17088.05,19.35,15885.0
2026-03-01,ADV-011,94995.09,19426.5,20.45,17720.55
2026-04-01,ADV-011,67690.95,13192.97,19.49,12094.07
2026-05-01,ADV-011,59596.24,8337.51,13.99,7591.93
2026-05-01,ADV-011,58108.15,9390.28,16.16,8914.91
2026-01-01,ADV-012,21430.83,2672.42,12.47,2276.4
2026-01-01,ADV-012,33329.16,5189.35,15.57,4493.25
2026-03-01,ADV-012,32390.77,6782.63,20.94,5786.92
2026-04-01,ADV-012,18847.87,3074.09,16.31,2802.82
2026-05-01,ADV-012,19858.3,2827.82,14.24,2476.55
2026-05-01,ADV-012,23750.19,3693.15,15.55,3156.42
2026-01-01,ADV-013,18823.76,2543.09,13.51,2337.13
2026-01-01,ADV-013,22505.31,4206.24,18.69,3872.43
2026-03-01,ADV-013,28612.79,4686.78,16.38,4198.01
2026-04-01,ADV-013,27349.92,3585.57,13.11,3085.7
2026-05-01,ADV-013,23918.93,4740.73,19.82,4478.75
2026-05-01,ADV-013,27082.79,3363.68,12.42,2894.58
2026-01-01,ADV-014,121886.74,25730.29,21.11,22274.8
2026-01-01,ADV-014,84181.53,13822.61,16.42,12448.5
2026-03-01,ADV-014,112875.38,14662.51,12.99,13411.93
2026-04-01,ADV-014,86949.39,11633.83,13.38,10876.0
2026-05-01,ADV-014,93757.61,15151.23,16.16,14043.73
2026-05-01,ADV-014,81132.07,16299.43,20.09,14410.85
2026-01-01,ADV-015,13144.26,2066.28,15.72,1912.31
2026-01-01,ADV-015,16480.0,3073.52,18.65,2659.09
2026-03-01,ADV-015,21238.33,3444.86,16.22,3006.74
2026-04-01,ADV-015,21822.87,3520.03,16.13,3136.1
2026-05-01,ADV-015,17668.3,3625.54,20.52,3369.8
2026-05-01,ADV-015,16493.7,2028.73,12.3,1753.96
2026-01-01,ADV-016,51015.17,10937.65,21.44,9389.73
2026-01-01,ADV-016,37135.0,8102.86,21.82,7020.58
2026-03-01,ADV-016,29979.84,5873.05,19.59,5379.82
2026-04-01,ADV-016,46361.14,9749.75,21.03,8343.65
2026-05-01,ADV-016,46082.71,8815.62,19.13,8075.43
2026-05-01,ADV-016,42924.23,6421.46,14.96,5716.39
2026-01-01,ADV-017,13883.48,2088.08,15.04,1929.95
2026-01-01,ADV-017,17061.4,2061.02,12.08,1809.53
2026-03-01,ADV-017,13652.75,2894.38,21.2,2662.92
2026-04-01,ADV-017,12923.53,1815.76,14.05,1642.25
2026-05-01,ADV-017,15981.1,2959.7,18.52,2722.18
2026-05-01,ADV-017,16868.77,3343.39,19.82,2977.12
2026-01-01,ADV-018,8546.83,1057.24,12.37,934.02
2026-01-01,ADV-018,11328.29,2197.69,19.4,1895.73
2026-03-01,ADV-018,13080.47,1941.14,14.84,1667.99
2026-04-01,ADV-018,10190.19,1753.73,17.21,1623.44
2026-05-01,ADV-018,7617.61,935.44,12.28,869.64
2026-05-01,ADV-018,10457.57,1506.94,14.41,1397.56
2026-01-01,ADV-019,9100.15,1192.12,13.1,1020.45
2026-01-01,ADV-019,6288.17,1148.85,18.27,1017.25
2026-03-01,ADV-019,4798.56,888.21,18.51,766.06
2026-04-01,ADV-019,5944.59,1151.47,19.37,1030.93
2026-05-01,ADV-019,9081.81,1820.9,20.05,1727.85
2026-05-01,ADV-019,7170.35,1501.47,20.94,1370.5
2026-01-01,ADV-020,6552.21,1015.59,15.5,892.15
2026-01-01,ADV-020,7329.34,1403.57,19.15,1287.42
2026-03-01,ADV-020,7040.08,1210.89,17.2,1059.24
2026-04-01,ADV-020,5452.88,971.7,17.82,905.9
2026-05-01,ADV-020,5590.12,725.6,12.98,668.4
2026-05-01,ADV-020,7508.58,962.6,12.82,824.2
2026-01-01,ADV-021,22041.26,3627.99,16.46,3217.77
2026-01-01,ADV-021,22787.83,4074.46,17.88,3674.73
2026-03-01,ADV-021,20824.86,3048.76,14.64,2743.53
2026-04-01,ADV-021,21252.47,3485.41,16.4,3287.1
2026-05-01,ADV-021,22239.66,4832.68,21.73,4505.9
2026-05-01,ADV-021,17085.71,2267.27,13.27,2088.42
2026-01-01,ADV-022,26564.96,5480.35,20.63,4723.0
2026-01-01,ADV-022,18899.0,3161.8,16.73,2923.56
2026-03-01,ADV-022,30298.26,4753.8,15.69,4493.21
2026-04-01,ADV-022,24960.89,4016.21,16.09,3462.32
2026-05-01,ADV-022,24495.9,3037.49,12.4,2628.43
2026-05-01,ADV-022,21374.28,4683.1,21.91,4122.65
2026-01-01,ADV-023,214434.9,28777.16,13.42,26157.36
2026-01-01,ADV-023,125539.81,26288.04,20.94,24681.99
2026-03-01,ADV-023,145523.97,29381.29,20.19,26410.24
2026-04-01,ADV-023,134360.08,20812.38,15.49,19502.09
2026-05-01,ADV-023,169705.76,30088.83,17.73,27277.82
2026-05-01,ADV-023,227493.89,45066.54,19.81,40448.25
2026-01-01,ADV-024,7328.59,1437.87,19.62,1294.77
2026-01-01,ADV-024,6667.83,1100.19,16.5,984.57
2026-03-01,ADV-024,8518.15,1299.02,15.25,1208.06
2026-04-01,ADV-024,7596.93,1223.11,16.1,1068.12
2026-05-01,ADV-024,6368.71,1108.79,17.41,1048.7
2026-05-01,ADV-024,8626.31,1670.05,19.36,1527.41
2026-01-01,ADV-025,42010.87,7444.33,17.72,6920.37
2026-01-01,ADV-025,42015.55,7398.94,17.61,6380.68
2026-03-01,ADV-025,38372.45,5341.45,13.92,4870.71
2026-04-01,ADV-025,38803.15,4862.03,12.53,4409.98
2026-05-01,ADV-025,29268.57,4905.41,16.76,4609.55
2026-05-01,ADV-025,27567.85,5888.49,21.36,5111.06
2026-01-01,ADV-026,25429.89,3674.62,14.45,3382.71
2026-01-01,ADV-026,26865.92,4416.76,16.44,4110.64
2026-03-01,ADV-026,22869.44,3663.68,16.02,3130.61
2026-04-01,ADV-026,26500.41,3241.0,12.23,2896.49
2026-05-01,ADV-026,20137.98,4148.42,20.6,3657.82
2026-05-01,ADV-026,17892.69,2352.89,13.15,2023.33
2026-01-01,ADV-027,18373.09,2675.12,14.56,2297.83
2026-01-01,ADV-027,20987.0,3372.61,16.07,2923.78
2026-03-01,ADV-027,25928.33,3954.07,15.25,3371.7
2026-04-01,ADV-027,16999.44,2702.91,15.9,2383.98
2026-05-01,ADV-027,22689.81,3457.93,15.24,3069.09
2026-05-01,ADV-027,29353.36,3877.58,13.21,3374.49
2026-01-01,ADV-028,14727.0,2493.28,16.93,2306.88
2026-01-01,ADV-028,12860.81,1691.2,13.15,1447.77
2026-03-01,ADV-028,13601.55,2185.77,16.07,1963.73
2026-04-01,ADV-028,13069.22,1874.13,14.34,1759.09
2026-05-01,ADV-028,11784.73,2549.04,21.63,2338.77
2026-05-01,ADV-028,11572.61,2030.99,17.55,1885.82
2026-01-01,ADV-029,24943.73,3202.77,12.84,2925.99
2026-01-01,ADV-029,21339.1,4626.32,21.68,4105.07
2026-03-01,ADV-029,35202.52,6977.14,19.82,6305.62
2026-04-01,ADV-029,25245.28,5329.28,21.11,4770.63
2026-05-01,ADV-029,17749.26,2955.25,16.65,2757.06
2026-05-01,ADV-029,22860.34,4965.27,21.72,4220.75
2026-01-01,ADV-030,15080.03,2711.39,17.98,2532.3
2026-01-01,ADV-030,14041.93,2177.9,15.51,1988.9
2026-03-01,ADV-030,16127.7,2757.84,17.1,2356.71
2026-04-01,ADV-030,17694.77,3119.59,17.63,2745.44
2026-05-01,ADV-030,14196.09,1878.14,13.23,1622.65
2026-05-01,ADV-030,15835.9,2342.13,14.79,2091.98
